strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,attack,nominal_fpr,n_member,n_nonmember,actual_fpr,calibrated_tpr
cross_cell_2,2,45,1024,5,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.036
cross_cell_2,2,45,1024,6,loss_mia,0.01,1500,1500,0.03333333333333333,0.024
cross_cell_2,2,45,1024,6,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.021333333333333333
cross_cell_2,2,45,1024,6,affine_channel_lira,0.01,1500,1500,0.017333333333333333,0.03266666666666666
cross_cell_2,2,45,1024,7,loss_mia,0.01,1500,1500,0.034666666666666665,0.024666666666666667
cross_cell_2,2,45,1024,7,latent_lira_mismatched,0.01,1500,1500,0.012,0.022
cross_cell_2,2,45,1024,7,affine_channel_lira,0.01,1500,1500,0.018,0.036
cross_cell_2,2,45,1024,8,loss_mia,0.01,1500,1500,0.03333333333333333,0.027333333333333334
cross_cell_2,2,45,1024,8,latent_lira_mismatched,0.01,1500,1500,0.01,0.024666666666666667
cross_cell_2,2,45,1024,8,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.03933333333333333
cross_cell_2,2,45,1024,9,loss_mia,0.01,1500,1500,0.038,0.022
cross_cell_2,2,45,1024,9,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.02266666666666667
cross_cell_2,2,45,1024,9,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.04
cross_cell_2,2,45,128,0,loss_mia,0.01,1500,1500,0.024,0.014666666666666666
cross_cell_2,2,45,128,0,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.016
cross_cell_2,2,45,128,0,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.03133333333333333
cross_cell_2,2,45,128,1,loss_mia,0.01,1500,1500,0.021333333333333333,0.025333333333333333
cross_cell_2,2,45,128,1,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.01
cross_cell_2,2,45,128,1,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.03
cross_cell_2,2,45,128,2,loss_mia,0.01,1500,1500,0.016,0.022
cross_cell_2,2,45,128,2,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.016
cross_cell_2,2,45,128,2,affine_channel_lira,0.01,1500,1500,0.016,0.03
cross_cell_2,2,45,128,3,loss_mia,0.01,1500,1500,0.016666666666666666,0.02
cross_cell_2,2,45,128,3,latent_lira_mismatched,0.01,1500,1500,0.01,0.012666666666666666
cross_cell_2,2,45,128,3,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.027333333333333334
cross_cell_2,2,45,128,4,loss_mia,0.01,1500,1500,0.021333333333333333,0.017333333333333333
cross_cell_2,2,45,128,4,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.014
cross_cell_2,2,45,128,4,affine_channel_lira,0.01,1500,1500,0.018,0.030666666666666665
cross_cell_2,2,45,128,5,loss_mia,0.01,1500,1500,0.016666666666666666,0.02
cross_cell_2,2,45,128,5,latent_lira_mismatched,0.01,1500,1500,0.016,0.015333333333333332
cross_cell_2,2,45,128,5,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.030666666666666665
cross_cell_2,2,45,128,6,loss_mia,0.01,1500,1500,0.027333333333333334,0.014666666666666666
cross_cell_2,2,45,128,6,latent_lira_mismatched,0.01,1500,1500,0.006,0.015333333333333332
cross_cell_2,2,45,128,6,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.03133333333333333
cross_cell_2,2,45,128,7,loss_mia,0.01,1500,1500,0.021333333333333333,0.02
cross_cell_2,2,45,128,7,latent_lira_mismatched,0.01,1500,1500,0.016,0.016666666666666666
cross_cell_2,2,45,128,7,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.03333333333333333
cross_cell_2,2,45,128,8,loss_mia,0.01,1500,1500,0.020666666666666667,0.024666666666666667
cross_cell_2,2,45,128,8,latent_lira_mismatched,0.01,1500,1500,0.013333333333333334,0.013333333333333334
cross_cell_2,2,45,128,8,affine_channel_lira,0.01,1500,1500,0.012,0.03
cross_cell_2,2,45,128,9,loss_mia,0.01,1500,1500,0.016666666666666666,0.021333333333333333
cross_cell_2,2,45,128,9,latent_lira_mismatched,0.01,1500,1500,0.016,0.014
cross_cell_2,2,45,128,9,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.032
cross_cell_2,2,45,512,0,loss_mia,0.01,1500,1500,0.02666666666666667,0.021333333333333333
cross_cell_2,2,45,512,0,latent_lira_mismatched,0.01,1500,1500,0.012,0.024666666666666667
cross_cell_2,2,45,512,0,affine_channel_lira,0.01,1500,1500,0.012,0.036
cross_cell_2,2,45,512,1,loss_mia,0.01,1500,1500,0.024666666666666667,0.026
cross_cell_2,2,45,512,1,latent_lira_mismatched,0.01,1500,1500,0.016,0.018666666666666668
cross_cell_2,2,45,512,1,affine_channel_lira,0.01,1500,1500,0.017333333333333333,0.036
cross_cell_2,2,45,512,2,loss_mia,0.01,1500,1500,0.030666666666666665,0.024666666666666667
cross_cell_2,2,45,512,2,latent_lira_mismatched,0.01,1500,1500,0.006666666666666667,0.02
cross_cell_2,2,45,512,2,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.036
cross_cell_2,2,45,512,3,loss_mia,0.01,1500,1500,0.021333333333333333,0.020666666666666667
cross_cell_2,2,45,512,3,latent_lira_mismatched,0.01,1500,1500,0.009333333333333334,0.016
cross_cell_2,2,45,512,3,affine_channel_lira,0.01,1500,1500,0.012,0.03333333333333333
cross_cell_2,2,45,512,4,loss_mia,0.01,1500,1500,0.028,0.021333333333333333
cross_cell_2,2,45,512,4,latent_lira_mismatched,0.01,1500,1500,0.013333333333333334,0.02266666666666667
cross_cell_2,2,45,512,4,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.032
cross_cell_2,2,45,512,5,loss_mia,0.01,1500,1500,0.027333333333333334,0.027333333333333334
cross_cell_2,2,45,512,5,latent_lira_mismatched,0.01,1500,1500,0.009333333333333334,0.024666666666666667
cross_cell_2,2,45,512,5,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.034666666666666665
cross_cell_2,2,45,512,6,loss_mia,0.01,1500,1500,0.030666666666666665,0.021333333333333333
cross_cell_2,2,45,512,6,latent_lira_mismatched,0.01,1500,1500,0.011333333333333334,0.018
cross_cell_2,2,45,512,6,affine_channel_lira,0.01,1500,1500,0.018,0.032
cross_cell_2,2,45,512,7,loss_mia,0.01,1500,1500,0.03133333333333333,0.025333333333333333
cross_cell_2,2,45,512,7,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.019333333333333334
cross_cell_2,2,45,512,7,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.03266666666666666
cross_cell_2,2,45,512,8,loss_mia,0.01,1500,1500,0.03,0.021333333333333333
cross_cell_2,2,45,512,8,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.026
cross_cell_2,2,45,512,8,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.034
cross_cell_2,2,45,512,9,loss_mia,0.01,1500,1500,0.03133333333333333,0.021333333333333333
cross_cell_2,2,45,512,9,latent_lira_mismatched,0.01,1500,1500,0.014,0.02266666666666667
cross_cell_2,2,45,512,9,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.032
cross_cell_2,2,46,1024,0,loss_mia,0.01,1500,1500,0.02,0.011333333333333334
cross_cell_2,2,46,1024,0,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.019333333333333334
cross_cell_2,2,46,1024,0,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.032
cross_cell_2,2,46,1024,1,loss_mia,0.01,1500,1500,0.018,0.013333333333333334
cross_cell_2,2,46,1024,1,latent_lira_mismatched,0.01,1500,1500,0.014,0.019333333333333334
cross_cell_2,2,46,1024,1,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.032
cross_cell_2,2,46,1024,2,loss_mia,0.01,1500,1500,0.020666666666666667,0.012666666666666666
cross_cell_2,2,46,1024,2,latent_lira_mismatched,0.01,1500,1500,0.012,0.018666666666666668
cross_cell_2,2,46,1024,2,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.03
cross_cell_2,2,46,1024,3,loss_mia,0.01,1500,1500,0.022,0.013333333333333334
cross_cell_2,2,46,1024,3,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.014
cross_cell_2,2,46,1024,3,affine_channel_lira,0.01,1500,1500,0.017333333333333333,0.03266666666666666
cross_cell_2,2,46,1024,4,loss_mia,0.01,1500,1500,0.021333333333333333,0.015333333333333332
cross_cell_2,2,46,1024,4,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.020666666666666667
cross_cell_2,2,46,1024,4,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.029333333333333333
cross_cell_2,2,46,1024,5,loss_mia,0.01,1500,1500,0.018666666666666668,0.013333333333333334
cross_cell_2,2,46,1024,5,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.02266666666666667
cross_cell_2,2,46,1024,5,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.024666666666666667
cross_cell_2,2,46,1024,6,loss_mia,0.01,1500,1500,0.021333333333333333,0.015333333333333332
cross_cell_2,2,46,1024,6,latent_lira_mismatched,0.01,1500,1500,0.013333333333333334,0.014666666666666666
cross_cell_2,2,46,1024,6,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.026
cross_cell_2,2,46,1024,7,loss_mia,0.01,1500,1500,0.020666666666666667,0.014666666666666666
cross_cell_2,2,46,1024,7,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.024
cross_cell_2,2,46,1024,7,affine_channel_lira,0.01,1500,1500,0.017333333333333333,0.027333333333333334
cross_cell_2,2,46,1024,8,loss_mia,0.01,1500,1500,0.02,0.014666666666666666
cross_cell_2,2,46,1024,8,latent_lira_mismatched,0.01,1500,1500,0.012,0.024
cross_cell_2,2,46,1024,8,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.032
cross_cell_2,2,46,1024,9,loss_mia,0.01,1500,1500,0.019333333333333334,0.015333333333333332
cross_cell_2,2,46,1024,9,latent_lira_mismatched,0.01,1500,1500,0.018666666666666668,0.016666666666666666
cross_cell_2,2,46,1024,9,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.03133333333333333
cross_cell_2,2,46,128,0,loss_mia,0.01,1500,1500,0.013333333333333334,0.006666666666666667
cross_cell_2,2,46,128,0,latent_lira_mismatched,0.01,1500,1500,0.022,0.02666666666666667
cross_cell_2,2,46,128,0,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.027333333333333334
cross_cell_2,2,46,128,1,loss_mia,0.01,1500,1500,0.009333333333333334,0.009333333333333334
cross_cell_2,2,46,128,1,latent_lira_mismatched,0.01,1500,1500,0.02,0.019333333333333334
cross_cell_2,2,46,128,1,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.02666666666666667
cross_cell_2,2,46,128,2,loss_mia,0.01,1500,1500,0.006,0.008666666666666666
cross_cell_2,2,46,128,2,latent_lira_mismatched,0.01,1500,1500,0.018666666666666668,0.02266666666666667
cross_cell_2,2,46,128,2,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.028
cross_cell_2,2,46,128,3,loss_mia,0.01,1500,1500,0.012666666666666666,0.008666666666666666
cross_cell_2,2,46,128,3,latent_lira_mismatched,0.01,1500,1500,0.021333333333333333,0.020666666666666667
cross_cell_2,2,46,128,3,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.02666666666666667
cross_cell_2,2,46,128,4,loss_mia,0.01,1500,1500,0.009333333333333334,0.007333333333333333
cross_cell_2,2,46,128,4,latent_lira_mismatched,0.01,1500,1500,0.022,0.02266666666666667
cross_cell_2,2,46,128,4,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.025333333333333333
cross_cell_2,2,46,128,5,loss_mia,0.01,1500,1500,0.011333333333333334,0.008
cross_cell_2,2,46,128,5,latent_lira_mismatched,0.01,1500,1500,0.024,0.024666666666666667
cross_cell_2,2,46,128,5,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.024666666666666667
cross_cell_2,2,46,128,6,loss_mia,0.01,1500,1500,0.009333333333333334,0.007333333333333333
cross_cell_2,2,46,128,6,latent_lira_mismatched,0.01,1500,1500,0.018666666666666668,0.02666666666666667
cross_cell_2,2,46,128,6,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.026
cross_cell_2,2,46,128,7,loss_mia,0.01,1500,1500,0.01,0.009333333333333334
cross_cell_2,2,46,128,7,latent_lira_mismatched,0.01,1500,1500,0.025333333333333333,0.022
cross_cell_2,2,46,128,7,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.02666666666666667
cross_cell_2,2,46,128,8,loss_mia,0.01,1500,1500,0.008,0.006666666666666667
cross_cell_2,2,46,128,8,latent_lira_mismatched,0.01,1500,1500,0.02,0.026
cross_cell_2,2,46,128,8,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.029333333333333333
cross_cell_2,2,46,128,9,loss_mia,0.01,1500,1500,0.009333333333333334,0.008666666666666666
cross_cell_2,2,46,128,9,latent_lira_mismatched,0.01,1500,1500,0.025333333333333333,0.023333333333333334
cross_cell_2,2,46,128,9,affine_channel_lira,0.01,1500,1500,0.010666666666666666,0.022
cross_cell_2,2,46,512,0,loss_mia,0.01,1500,1500,0.016,0.010666666666666666
cross_cell_2,2,46,512,0,latent_lira_mismatched,0.01,1500,1500,0.015333333333333332,0.02666666666666667
cross_cell_2,2,46,512,0,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.03133333333333333
cross_cell_2,2,46,512,1,loss_mia,0.01,1500,1500,0.014666666666666666,0.014
cross_cell_2,2,46,512,1,latent_lira_mismatched,0.01,1500,1500,0.019333333333333334,0.014
cross_cell_2,2,46,512,1,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.028666666666666667
cross_cell_2,2,46,512,2,loss_mia,0.01,1500,1500,0.012,0.012
cross_cell_2,2,46,512,2,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.014666666666666666
cross_cell_2,2,46,512,2,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.028
cross_cell_2,2,46,512,3,loss_mia,0.01,1500,1500,0.014666666666666666,0.012666666666666666
cross_cell_2,2,46,512,3,latent_lira_mismatched,0.01,1500,1500,0.018,0.016666666666666666
cross_cell_2,2,46,512,3,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.024666666666666667
cross_cell_2,2,46,512,4,loss_mia,0.01,1500,1500,0.015333333333333332,0.014666666666666666
cross_cell_2,2,46,512,4,latent_lira_mismatched,0.01,1500,1500,0.017333333333333333,0.021333333333333333
cross_cell_2,2,46,512,4,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.025333333333333333
cross_cell_2,2,46,512,5,loss_mia,0.01,1500,1500,0.018,0.011333333333333334
cross_cell_2,2,46,512,5,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.020666666666666667
cross_cell_2,2,46,512,5,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.030666666666666665
cross_cell_2,2,46,512,6,loss_mia,0.01,1500,1500,0.02,0.011333333333333334
cross_cell_2,2,46,512,6,latent_lira_mismatched,0.01,1500,1500,0.017333333333333333,0.014666666666666666
cross_cell_2,2,46,512,6,affine_channel_lira,0.01,1500,1500,0.016666666666666666,0.028666666666666667
cross_cell_2,2,46,512,7,loss_mia,0.01,1500,1500,0.016,0.012666666666666666
cross_cell_2,2,46,512,7,latent_lira_mismatched,0.01,1500,1500,0.014,0.016666666666666666
cross_cell_2,2,46,512,7,affine_channel_lira,0.01,1500,1500,0.016,0.028666666666666667
cross_cell_2,2,46,512,8,loss_mia,0.01,1500,1500,0.016,0.012
cross_cell_2,2,46,512,8,latent_lira_mismatched,0.01,1500,1500,0.015333333333333332,0.021333333333333333
cross_cell_2,2,46,512,8,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.028
cross_cell_2,2,46,512,9,loss_mia,0.01,1500,1500,0.018666666666666668,0.01
cross_cell_2,2,46,512,9,latent_lira_mismatched,0.01,1500,1500,0.015333333333333332,0.020666666666666667
cross_cell_2,2,46,512,9,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.029333333333333333
cross_cell_2,2,47,1024,0,loss_mia,0.01,1500,1500,0.034666666666666665,0.025333333333333333
cross_cell_2,2,47,1024,0,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.016
cross_cell_2,2,47,1024,0,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.03866666666666667
cross_cell_2,2,47,1024,1,loss_mia,0.01,1500,1500,0.03266666666666666,0.024
cross_cell_2,2,47,1024,1,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.02
cross_cell_2,2,47,1024,1,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.03866666666666667
cross_cell_2,2,47,1024,2,loss_mia,0.01,1500,1500,0.03133333333333333,0.02266666666666667
cross_cell_2,2,47,1024,2,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.02
cross_cell_2,2,47,1024,2,affine_channel_lira,0.01,1500,1500,0.012,0.03666666666666667
cross_cell_2,2,47,1024,3,loss_mia,0.01,1500,1500,0.03266666666666666,0.02666666666666667
cross_cell_2,2,47,1024,3,latent_lira_mismatched,0.01,1500,1500,0.012,0.013333333333333334
cross_cell_2,2,47,1024,3,affine_channel_lira,0.01,1500,1500,0.012,0.03866666666666667
cross_cell_2,2,47,1024,4,loss_mia,0.01,1500,1500,0.035333333333333335,0.027333333333333334
cross_cell_2,2,47,1024,4,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.021333333333333333
cross_cell_2,2,47,1024,4,affine_channel_lira,0.01,1500,1500,0.014,0.03666666666666667
cross_cell_2,2,47,1024,5,loss_mia,0.01,1500,1500,0.035333333333333335,0.026
cross_cell_2,2,47,1024,5,latent_lira_mismatched,0.01,1500,1500,0.010666666666666666,0.019333333333333334
cross_cell_2,2,47,1024,5,affine_channel_lira,0.01,1500,1500,0.012,0.034666666666666665
cross_cell_2,2,47,1024,6,loss_mia,0.01,1500,1500,0.034666666666666665,0.02666666666666667
cross_cell_2,2,47,1024,6,latent_lira_mismatched,0.01,1500,1500,0.012,0.016666666666666666
cross_cell_2,2,47,1024,6,affine_channel_lira,0.01,1500,1500,0.014,0.034
cross_cell_2,2,47,1024,7,loss_mia,0.01,1500,1500,0.037333333333333336,0.030666666666666665
cross_cell_2,2,47,1024,7,latent_lira_mismatched,0.01,1500,1500,0.012666666666666666,0.015333333333333332
cross_cell_2,2,47,1024,7,affine_channel_lira,0.01,1500,1500,0.014,0.038
cross_cell_2,2,47,1024,8,loss_mia,0.01,1500,1500,0.03666666666666667,0.023333333333333334
cross_cell_2,2,47,1024,8,latent_lira_mismatched,0.01,1500,1500,0.011333333333333334,0.018666666666666668
cross_cell_2,2,47,1024,8,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.037333333333333336
cross_cell_2,2,47,1024,9,loss_mia,0.01,1500,1500,0.03666666666666667,0.028
cross_cell_2,2,47,1024,9,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.018666666666666668
cross_cell_2,2,47,1024,9,affine_channel_lira,0.01,1500,1500,0.011333333333333334,0.035333333333333335
cross_cell_2,2,47,128,0,loss_mia,0.01,1500,1500,0.018,0.015333333333333332
cross_cell_2,2,47,128,0,latent_lira_mismatched,0.01,1500,1500,0.023333333333333334,0.025333333333333333
cross_cell_2,2,47,128,0,affine_channel_lira,0.01,1500,1500,0.015333333333333332,0.03333333333333333
cross_cell_2,2,47,128,1,loss_mia,0.01,1500,1500,0.017333333333333333,0.021333333333333333
cross_cell_2,2,47,128,1,latent_lira_mismatched,0.01,1500,1500,0.02666666666666667,0.019333333333333334
cross_cell_2,2,47,128,1,affine_channel_lira,0.01,1500,1500,0.012,0.03
cross_cell_2,2,47,128,2,loss_mia,0.01,1500,1500,0.016,0.016666666666666666
cross_cell_2,2,47,128,2,latent_lira_mismatched,0.01,1500,1500,0.027333333333333334,0.021333333333333333
cross_cell_2,2,47,128,2,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.03333333333333333
cross_cell_2,2,47,128,3,loss_mia,0.01,1500,1500,0.018666666666666668,0.014
cross_cell_2,2,47,128,3,latent_lira_mismatched,0.01,1500,1500,0.019333333333333334,0.019333333333333334
cross_cell_2,2,47,128,3,affine_channel_lira,0.01,1500,1500,0.014666666666666666,0.028
cross_cell_2,2,47,128,4,loss_mia,0.01,1500,1500,0.014666666666666666,0.012
cross_cell_2,2,47,128,4,latent_lira_mismatched,0.01,1500,1500,0.028666666666666667,0.02
cross_cell_2,2,47,128,4,affine_channel_lira,0.01,1500,1500,0.016,0.03333333333333333
cross_cell_2,2,47,128,5,loss_mia,0.01,1500,1500,0.016,0.014
cross_cell_2,2,47,128,5,latent_lira_mismatched,0.01,1500,1500,0.030666666666666665,0.029333333333333333
cross_cell_2,2,47,128,5,affine_channel_lira,0.01,1500,1500,0.016,0.028666666666666667
cross_cell_2,2,47,128,6,loss_mia,0.01,1500,1500,0.021333333333333333,0.013333333333333334
cross_cell_2,2,47,128,6,latent_lira_mismatched,0.01,1500,1500,0.019333333333333334,0.026
cross_cell_2,2,47,128,6,affine_channel_lira,0.01,1500,1500,0.014,0.028
cross_cell_2,2,47,128,7,loss_mia,0.01,1500,1500,0.017333333333333333,0.017333333333333333
cross_cell_2,2,47,128,7,latent_lira_mismatched,0.01,1500,1500,0.027333333333333334,0.025333333333333333
cross_cell_2,2,47,128,7,affine_channel_lira,0.01,1500,1500,0.014,0.03266666666666666
cross_cell_2,2,47,128,8,loss_mia,0.01,1500,1500,0.015333333333333332,0.017333333333333333
cross_cell_2,2,47,128,8,latent_lira_mismatched,0.01,1500,1500,0.02666666666666667,0.023333333333333334
cross_cell_2,2,47,128,8,affine_channel_lira,0.01,1500,1500,0.013333333333333334,0.034
cross_cell_2,2,47,128,9,loss_mia,0.01,1500,1500,0.016,0.014666666666666666
cross_cell_2,2,47,128,9,latent_lira_mismatched,0.01,1500,1500,0.028666666666666667,0.026
cross_cell_2,2,47,128,9,affine_channel_lira,0.01,1500,1500,0.011333333333333334,0.03
cross_cell_2,2,47,512,0,loss_mia,0.01,1500,1500,0.032,0.023333333333333334
cross_cell_2,2,47,512,0,latent_lira_mismatched,0.01,1500,1500,0.014666666666666666,0.018
cross_cell_2,2,47,512,0,affine_channel_lira,0.01,1500,1500,0.012666666666666666,0.035333333333333335
cross_cell_2,2,47,512,1,loss_mia,0.01,1500,1500,0.03133333333333333,0.024666666666666667
